Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Donor,Experiment,GEO_Accession (exp),infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR7768809,RNA-Seq,74,2316091516,PRJNA488556,SAMN09936780,966308485,Germinal Center B Cell,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",HD1,SRX4624389,GSM3361980,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361980,Lymph node,SRP159143
SRR7768810,RNA-Seq,74,2239122414,PRJNA488556,SAMN09936779,933246507,Unswitched Memory B Cell,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",HD1,SRX4624390,GSM3361981,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361981,Lymph node,SRP159143
SRR7768811,RNA-Seq,74,2305522466,PRJNA488556,SAMN09936778,964778594,Naive B Cell,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",HD1,SRX4624391,GSM3361982,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361982,Lymph node,SRP159143
SRR7768812,RNA-Seq,74,2485427566,PRJNA488556,SAMN09936777,1032338204,Memory B Cell,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",HD1,SRX4624392,GSM3361983,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361983,Lymph node,SRP159143
SRR7768813,RNA-Seq,74,2357335786,PRJNA488556,SAMN09936776,987876876,Germinal Center B Cell,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",HD2,SRX4624393,GSM3361984,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361984,Lymph node,SRP159143
SRR7768814,RNA-Seq,74,2571150646,PRJNA488556,SAMN09936775,1069305246,Unswitched Memory B Cell,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",HD2,SRX4624394,GSM3361985,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361985,Lymph node,SRP159143
SRR7768815,RNA-Seq,74,2278374678,PRJNA488556,SAMN09936774,949293750,Naive B Cell,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",HD2,SRX4624395,GSM3361986,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361986,Lymph node,SRP159143
SRR7768816,RNA-Seq,74,2260780438,PRJNA488556,SAMN09936773,950345580,Memory B Cell,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",HD2,SRX4624396,GSM3361987,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361987,Lymph node,SRP159143
SRR7768817,RNA-Seq,74,2281765062,PRJNA488556,SAMN09936772,951631329,Germinal Center B Cell,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",HD3,SRX4624397,GSM3361988,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361988,Lymph node,SRP159143
SRR7768818,RNA-Seq,74,2460005828,PRJNA488556,SAMN09936771,1051737962,Unswitched Memory B Cell,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",HD3,SRX4624398,GSM3361989,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361989,Lymph node,SRP159143
SRR7768819,RNA-Seq,74,2272981336,PRJNA488556,SAMN09936770,964376544,Naive B Cell,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",HD3,SRX4624399,GSM3361990,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361990,Lymph node,SRP159143
SRR7768820,RNA-Seq,74,2194019266,PRJNA488556,SAMN09936769,920913197,Memory B Cell,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",HD3,SRX4624400,GSM3361991,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361991,Lymph node,SRP159143
SRR7768821,RNA-Seq,74,2395381850,PRJNA488556,SAMN09936768,1008967681,Germinal Center B Cell,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",HD4,SRX4624401,GSM3361992,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361992,Lymph node,SRP159143
SRR7768822,RNA-Seq,74,2401520964,PRJNA488556,SAMN09936767,1007493831,Unswitched Memory B Cell,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",HD4,SRX4624402,GSM3361993,Uninfected,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-09T00:00:00Z,GSM3361993,Lymph node,SRP159143
