SAMPLE_NAME,DESCRIPTION,SETS,ANTI-CD8_TREATMENT,SETS2
GSM347802.CEL.gz,Control. biological replicate 1. technical replicate 1,Uninfected,No,Uninfected_No
GSM347803.CEL.gz,Control. biological replicate 1. technical replicate 2,Uninfected,No,Uninfected_No
GSM347810.CEL.gz,Control. biological replicate 2. technical replicate 1,Uninfected,No,Uninfected_No
GSM347811.CEL.gz,Control. biological replicate 2. technical replicate 2,Uninfected,No,Uninfected_No
GSM347812.CEL.gz,Control. biological replicate 3. technical replicate 1,Uninfected,No,Uninfected_No
GSM347813.CEL.gz,Control. biological replicate 3. technical replicate 2,Uninfected,No,Uninfected_No
GSM347814.CEL.gz,Control. biological replicate 4. technical replicate 1,Uninfected,No,Uninfected_No
GSM347815.CEL.gz,Control. biological replicate 4. technical replicate 2,Uninfected,No,Uninfected_No
GSM347816.CEL.gz,Control. biological replicate 5. technical replicate 1,Uninfected,No,Uninfected_No
GSM347817.CEL.gz,Control. biological replicate 5. technical replicate 2,Uninfected,No,Uninfected_No
GSM347818.CEL.gz,Control. biological replicate 6. technical replicate 1,Uninfected,No,Uninfected_No
GSM347820.CEL.gz,Control. biological replicate 6. technical replicate 2,Uninfected,No,Uninfected_No
GSM347821.CEL.gz,Control. biological replicate 7. technical replicate 1,Uninfected,No,Uninfected_No
GSM347822.CEL.gz,Control. biological replicate 7. technical replicate 2,Uninfected,No,Uninfected_No
GSM347825.CEL.gz,Control. biological replicate 8. technical replicate 1,Uninfected,Yes,Uninfected_Yes
GSM347826.CEL.gz,Control. biological replicate 8. technical replicate 2,Uninfected,Yes,Uninfected_Yes
GSM347827.CEL.gz,Control. biological replicate 9. technical replicate 1,Uninfected,Yes,Uninfected_Yes
GSM347828.CEL.gz,Control. biological replicate 9. technical replicate 2,Uninfected,Yes,Uninfected_Yes
GSM347800.CEL.gz,SIVE. biological replicate 1. technical replicate 1,Infected,Yes,Infected_Yes
GSM347801.CEL.gz,SIVE. biological replicate 1. technical replicate 2,Infected,Yes,Infected_Yes
GSM347804.CEL.gz,SIVE. biological replicate 2. technical replicate 1,Infected,Yes,Infected_Yes
GSM347805.CEL.gz,SIVE. biological replicate 2. technical replicate 2,Infected,Yes,Infected_Yes
GSM347806.CEL.gz,SIVE. biological replicate 3. technical replicate 1,Infected,Yes,Infected_Yes
GSM347807.CEL.gz,SIVE. biological replicate 3. technical replicate 2,Infected,Yes,Infected_Yes
GSM347808.CEL.gz,SIVE. biological replicate 4. technical replicate 1,Infected,Yes,Infected_Yes
GSM347809.CEL.gz,SIVE. biological replicate 4. technical replicate 2,Infected,Yes,Infected_Yes
GSM347823.CEL.gz,SIVE. biological replicate 5. technical replicate 1,Infected,No,Infected_No
GSM347824.CEL.gz,SIVE. biological replicate 5. technical replicate 2,Infected,No,Infected_No
GSM347829.CEL.gz,SIVE. biological replicate 6. technical replicate 1,Infected,No,Infected_No
GSM347830.CEL.gz,SIVE. biological replicate 6. technical replicate 2,Infected,No,Infected_No
GSM347831.CEL.gz,SIVE. biological replicate 7. technical replicate 1,Infected,No,Infected_No
GSM347832.CEL.gz,SIVE. biological replicate 7. technical replicate 2,Infected,No,Infected_No
GSM347833.CEL.gz,SIVE. biological replicate 8. technical replicate 1,Infected,No,Infected_No
GSM347834.CEL.gz,SIVE. biological replicate 8. technical replicate 2,Infected,No,Infected_No
GSM347835.CEL.gz,SIVE. biological replicate 9. technical replicate 1,Infected,No,Infected_No
GSM347836.CEL.gz,SIVE. biological replicate 9. technical replicate 2,Infected,No,Infected_No
