SAMPLE,SAMPLE_NAME,SAMPLE_ID,SAMPLE_ORGAN,SETS
FRs_SIVsmm_day.5,GSM404478.CEL.gz,SM_FRs_SIVsmm_day-5,blood,0
FUv_SIVsmm_day.5,GSM404479.CEL.gz,SM_FUv_SIVsmm_day-5,blood,0
FFs_SIVsmm_day.5,GSM404480.CEL.gz,SM_FFs_SIVsmm_day-5,blood,0
FSs_SIVsmm_day0,GSM404481.CEL.gz,SM_FSs_SIVsmm_day0,blood,0
FWv_SIVsmm_day0,GSM404482.CEL.gz,SM_FWv_SIVsmm_day0,blood,0
FRs_SIVsmm_day3,GSM404483.CEL.gz,SM_FRs_SIVsmm_day3,blood,3
FUv_SIVsmm_day3,GSM404490.CEL.gz,SM_FUv_SIVsmm_day3,blood,3
FFs_SIVsmm_day3,GSM404491.CEL.gz,SM_FFs_SIVsmm_day3,blood,3
FSs_SIVsmm_day3,GSM404492.CEL.gz,SM_FSs_SIVsmm_day3,blood,3
FWv_SIVsmm_day3,GSM404493.CEL.gz,SM_FWv_SIVsmm_day3,blood,3
FRs_SIVsmm_day7,GSM404494.CEL.gz,SM_FRs_SIVsmm_day7,blood,7
FUv_SIVsmm_day7,GSM404495.CEL.gz,SM_FUv_SIVsmm_day7,blood,7
FFs_SIVsmm_day7,GSM404502.CEL.gz,SM_FFs_SIVsmm_day7,blood,7
FSs_SIVsmm_day7,GSM404503.CEL.gz,SM_FSs_SIVsmm_day7,blood,7
FWv_SIVsmm_day7,GSM404504.CEL.gz,SM_FWv_SIVsmm_day7,blood,7
FSs_SIVsmm_day10,GSM404505.CEL.gz,SM_FSs_SIVsmm_day10,blood,10
FRs_SIVsmm_day10,GSM404506.CEL.gz,SM_FRs_SIVsmm_day10,blood,10
FUv_SIVsmm_day10,GSM404507.CEL.gz,SM_FUv_SIVsmm_day10,blood,10
FFs_SIVsmm_day10,GSM404514.CEL.gz,SM_FFs_SIVsmm_day10,blood,10
FRs_SIVsmm_day14,GSM404515.CEL.gz,SM_FRs_SIVsmm_day14,blood,14
FUv_SIVsmm_day14,GSM404516.CEL.gz,SM_FUv_SIVsmm_day14,blood,14
FFs_SIVsmm_day14,GSM404517.CEL.gz,SM_FFs_SIVsmm_day14,blood,14
FWv_SIVsmm_day14,GSM404518.CEL.gz,SM_FWv_SIVsmm_day14,blood,14
FRs_SIVsmm_day30,GSM404524.CEL.gz,SM_FRs_SIVsmm_day30,blood,30
FUv_SIVsmm_day30,GSM404525.CEL.gz,SM_FUv_SIVsmm_day30,blood,30
FFs_SIVsmm_day30,GSM404526.CEL.gz,SM_FFs_SIVsmm_day30,blood,30
FSs_SIVsmm_day30,GSM404527.CEL.gz,SM_FSs_SIVsmm_day30,blood,30
FWv_SIVsmm_day30,GSM404528.CEL.gz,SM_FWv_SIVsmm_day30,blood,30
FRs_SIVsmm_day180,GSM404529.CEL.gz,SM_FRs_SIVsmm_day180,blood,180
FUv_SIVsmm_day180,GSM404530.CEL.gz,SM_FUv_SIVsmm_day180,blood,180
FFs_SIVsmm_day180,GSM404531.CEL.gz,SM_FFs_SIVsmm_day180,blood,180
FWv_SIVsmm_day180,GSM404532.CEL.gz,SM_FWv_SIVsmm_day180,blood,180
FSs_SIVsmm_day180,GSM404534.CEL.gz,SM_FSs_SIVsmm_day180,blood,180
