SAMPLE,SAMPLE_NAME,SAMPLE_ID,SAMPLE_ORGAN,SETS
FSs_SIVsmm_day0,GSM404481.CEL.gz,SM_FSs_SIVsmm_day0,blood,SM_acute
FWv_SIVsmm_day0,GSM404482.CEL.gz,SM_FWv_SIVsmm_day0,blood,SM_acute
FRs_SIVsmm_day3,GSM404483.CEL.gz,SM_FRs_SIVsmm_day3,blood,SM_acute
FUv_SIVsmm_day3,GSM404490.CEL.gz,SM_FUv_SIVsmm_day3,blood,SM_acute
FFs_SIVsmm_day3,GSM404491.CEL.gz,SM_FFs_SIVsmm_day3,blood,SM_acute
FSs_SIVsmm_day3,GSM404492.CEL.gz,SM_FSs_SIVsmm_day3,blood,SM_acute
FWv_SIVsmm_day3,GSM404493.CEL.gz,SM_FWv_SIVsmm_day3,blood,SM_acute
FRs_SIVsmm_day7,GSM404494.CEL.gz,SM_FRs_SIVsmm_day7,blood,SM_acute
FUv_SIVsmm_day7,GSM404495.CEL.gz,SM_FUv_SIVsmm_day7,blood,SM_acute
FFs_SIVsmm_day7,GSM404502.CEL.gz,SM_FFs_SIVsmm_day7,blood,SM_acute
FSs_SIVsmm_day7,GSM404503.CEL.gz,SM_FSs_SIVsmm_day7,blood,SM_acute
FWv_SIVsmm_day7,GSM404504.CEL.gz,SM_FWv_SIVsmm_day7,blood,SM_acute
FSs_SIVsmm_day10,GSM404505.CEL.gz,SM_FSs_SIVsmm_day10,blood,SM_acute
FRs_SIVsmm_day10,GSM404506.CEL.gz,SM_FRs_SIVsmm_day10,blood,SM_acute
FUv_SIVsmm_day10,GSM404507.CEL.gz,SM_FUv_SIVsmm_day10,blood,SM_acute
FFs_SIVsmm_day10,GSM404514.CEL.gz,SM_FFs_SIVsmm_day10,blood,SM_acute
FRs_SIVsmm_day14,GSM404515.CEL.gz,SM_FRs_SIVsmm_day14,blood,SM_acute
FUv_SIVsmm_day14,GSM404516.CEL.gz,SM_FUv_SIVsmm_day14,blood,SM_acute
FFs_SIVsmm_day14,GSM404517.CEL.gz,SM_FFs_SIVsmm_day14,blood,SM_acute
FWv_SIVsmm_day14,GSM404518.CEL.gz,SM_FWv_SIVsmm_day14,blood,SM_acute
FRs_SIVsmm_day30,GSM404524.CEL.gz,SM_FRs_SIVsmm_day30,blood,SM_acute
FUv_SIVsmm_day30,GSM404525.CEL.gz,SM_FUv_SIVsmm_day30,blood,SM_acute
FFs_SIVsmm_day30,GSM404526.CEL.gz,SM_FFs_SIVsmm_day30,blood,SM_acute
FSs_SIVsmm_day30,GSM404527.CEL.gz,SM_FSs_SIVsmm_day30,blood,SM_acute
FWv_SIVsmm_day30,GSM404528.CEL.gz,SM_FWv_SIVsmm_day30,blood,SM_acute
RLi6_SIVmac239_day9,GSM404544.CEL.gz,,blood,RM_acute
RSq8_SIVmac239_day9,GSM404545.CEL.gz,,blood,RM_acute
RRf6_SIVmac239_day9,GSM404546.CEL.gz,,blood,RM_acute
RWf7_SIVmac239_day9,GSM404547.CEL.gz,,blood,RM_acute
RZl5_SIVmac239_day9,GSM404548.CEL.gz,,blood,RM_acute
RUe7_SIVmac239_day9,GSM404549.CEL.gz,,blood,RM_acute
RPp6_SIVmac239_day9,GSM404550.CEL.gz,,blood,RM_acute
XHB_SIVmac239_day9,GSM404551.CEL.gz,,blood,RM_acute
RRf6_SIVmac239_day14,GSM404552.CEL.gz,,blood,RM_acute
RWf7_SIVmac239_day14,GSM404553.CEL.gz,,blood,RM_acute
RZl5_SIVmac239_day14,GSM404554.CEL.gz,,blood,RM_acute
RUe7_SIVmac239_day14,GSM404555.CEL.gz,,blood,RM_acute
RPp6_SIVmac239_day14,GSM404556.CEL.gz,,blood,RM_acute
XHB_SIVmac239_day14,GSM404557.CEL.gz,,blood,RM_acute
RLi6_SIVmac239_day31,GSM404558.CEL.gz,,blood,RM_acute
RSq8_SIVmac239_day31,GSM404559.CEL.gz,,blood,RM_acute
RRf6_SIVmac239_day31,GSM404560.CEL.gz,,blood,RM_acute
RWf7_SIVmac239_day31,GSM404561.CEL.gz,,blood,RM_acute
RZl5_SIVmac239_day31,GSM404562.CEL.gz,,blood,RM_acute
RUe7_SIVmac239_day31,GSM404563.CEL.gz,,blood,RM_acute
RPp6_SIVmac239_day31,GSM404564.CEL.gz,,blood,RM_acute
XHB_SIVmac239_day31,GSM404565.CEL.gz,,blood,RM_acute
